step,train_reward_mean,actor_loss,grad_norm,step_seconds,generation_seconds,reward_seconds,actor_update_seconds,checkpoint_seconds,weight_update_seconds,validation_seconds
24,0.5829680562019348,10.284069538116455,0.02178955078125,1368.4176529089455,221.92316996701993,75.4434465279337,805.3812423880445,257.6818692709785,7.380158934975043,
25,0.5659340620040894,10.717531681060791,0.0250244140625,1347.5820772469742,221.82126088207588,77.50712037808262,756.1883125029271,282.58813777193427,9.20819826994557,
26,0.45806625485420227,10.405276775360107,0.02935791015625,1367.6047828600276,221.85997784300707,73.67321653210092,759.4947838539956,304.90278244705405,7.427137613063678,
27,0.4525066614151001,10.7160325050354,0.0238037109375,1335.0992200869368,221.81934941606596,74.74699381703977,756.4791532020317,274.50238732702564,7.263676153961569,
28,0.41639959812164307,9.97087287902832,0.0400390625,1278.979551285971,221.87403842492495,14.050366593059152,760.2759534548968,274.0100240779575,8.490801883977838,
29,0.4477163553237915,10.33009147644043,0.02642822265625,1281.1464307979913,221.77579021500424,12.87861058395356,756.3360026859445,281.7973397569731,8.077338962932117,
30,0.4280972480773926,10.260273456573486,0.0592041015625,1290.1073044529185,221.79539800202474,14.189180557033978,759.9331913369242,284.3238076599082,9.617228486924432,
31,0.5750010013580322,10.257022857666016,0.02069091796875,1272.0266323130345,221.77991110889707,13.722927924944088,758.3383574630134,270.42002103501,7.507322437013499,
32,0.42970940470695496,9.219327449798584,0.0235595703125,1275.1335967129562,221.94122314394917,12.783444624044932,759.6742536090314,271.7345634599915,8.71452991408296,
33,0.5323998928070068,9.626827716827393,0.02923583984375,1336.4169966999907,221.83673401200213,73.88604565500282,756.0475968320388,277.2100203229347,7.17278424592223,
34,0.5039529800415039,9.23497724533081,0.032470703125,1350.2609025180573,221.86650875990745,73.10958339902572,760.4635076590348,285.83294778701384,8.749164746026509,
35,0.7053418755531311,9.839090824127197,0.03277587890625,1333.4468009800185,221.84390857990365,72.54912137403153,756.7836113939993,274.56069194397423,7.472752572968602,
36,0.6985176205635071,9.81793737411499,0.0350341796875,1278.3538547350327,221.7839394210605,13.090062396018766,760.3919877409935,273.84667407698,8.96458611509297,
37,0.3888888955116272,7.761767864227295,0.014984130859375,1331.9891302050091,221.75958767393604,72.9225674039917,754.7767728060717,275.1720347220544,7.103651906945743,
38,0.4404871463775635,9.615855693817139,0.0230712890625,1330.2558596460149,221.8457755659474,72.9850796200335,760.1432244949974,265.8507658469025,9.173573903972283,
39,0.3673819303512573,10.053760528564453,0.022918701171875,1338.5246093219612,221.8033765628934,72.68911097594537,757.2855900080176,278.74757171596866,7.759789239964448,
40,0.7523809671401978,9.75813102722168,0.021728515625,1276.5897283789236,221.71083636500407,12.391203759005293,759.3812093560118,274.59113632305525,8.297974223969504,1824.727974834037
41,0.36126893758773804,9.911993980407715,0.02789306640625,1336.7913104459876,221.85353911598213,12.844010137021542,757.3367472639075,336.05456746497657,8.41694882302545,
42,0.46906566619873047,10.312253475189209,0.010986328125,1284.9826422400074,221.7771446990082,12.673351812991314,759.021968866,284.1236313690897,7.192834723042324,
43,0.6583945751190186,8.388762474060059,0.037109375,1269.872702360968,221.75933562102728,12.497021812945604,756.1325525740394,272.2004554630257,7.036609383998439,
44,0.4894719123840332,9.572646141052246,0.03839111328125,1334.6514682499692,221.8265655549476,73.05996119091287,760.7458722509909,271.66908825503197,7.112040603067726,
45,0.6408447027206421,10.467910766601562,0.01953125,1275.0067719239742,221.8913709509652,12.855452448013239,757.2379425080726,275.63281012291554,7.134358570096083,
